sample,strain/dazlKO,timePoint
SRR12842717,129_KO_rep2,E15.5
SRR12842718,129_KO_rep1,E15.5
SRR12842719,129_C_rep2,E15.5
SRR12842720,129_C_rep1,E15.5
SRR12842721,B6N_KO_rep2,E15.5
SRR12842722,B6N_KO_rep1,E15.5
SRR12842723_,B6N_C_rep2,E15.5
SRR12842724,B6N_C_rep1,E15.5
SRR648686,B6N_C_9.5_1,E9.5
SRR648687,B6N_C_9.5_2,E9.5
SRR648688,B6N_C_9.5_3,E9.5
SRR648689,B6N_C_9.5_4,E9.5
SRR648690,B6N_C_9.5_5,E9.5
SRR648691,B6N_C_9.5_6,E9.5
SRR648692,B6N_C_11.5_1,E11.5
SRR648693,B6N_C_11.5_2,E11.5
SRR648694,B6N_C_11.5_3,E11.5
SRR648695,B6N_C_11.5_4,E11.5
SRR648696,B6N_C_11.5_5,E11.5
SRR648697,B6N_C_11.5_6,E11.5
SRR649335,B6N_C_13.5_1,E13.5
SRR649336,B6N_C_13.5_2,E13.5
SRR649337,B6N_C_13.5_3,E13.5
SRR649338,B6N_C_13.5_4,E13.5
SRR649339,B6N_C_13.5_5,E13.5
SRR649340,B6N_C_13.5_6,E13.5
SRR649341,B6N_C_13.5_7,E13.5
SRR649342,B6N_C_13.5_8,E13.5
SRR649343,B6N_C_13.5_9,E13.5
