sample,strain,dazlKO,timePoint
SRR12842717,129S4,treated,E15.5
SRR12842718,129S4,treated,E15.5
SRR12842719,129S4,control,E15.5
SRR12842720,129S4,control,E15.5
SRR12842721,C57BL/6,treated,E15.5
SRR12842722,C57BL/6,treated,E15.5
SRR12842723_,C57BL/6,control,E15.5
SRR12842724,C57BL/6,control,E15.5
SRR648686,C57BL/6,control,E9.5
SRR648687,C57BL/6,control,E9.5
SRR648688,C57BL/6,control,E9.5
SRR648689,C57BL/6,control,E9.5
SRR648690,C57BL/6,control,E9.5
SRR648691,C57BL/6,control,E9.5
SRR648692,C57BL/6,control,E11.5
SRR648693,C57BL/6,control,E11.5
SRR648694,C57BL/6,control,E11.5
SRR648695,C57BL/6,control,E11.5
SRR648696,C57BL/6,control,E11.5
SRR648697,C57BL/6,control,E11.5
SRR649335,C57BL/6,control,E13.5
SRR649336,C57BL/6,control,E13.5
SRR649337,C57BL/6,control,E13.5
SRR649338,C57BL/6,control,E13.5
SRR649339,C57BL/6,control,E13.5
SRR649340,C57BL/6,control,E13.5
SRR649341,C57BL/6,control,E13.5
SRR649342,C57BL/6,control,E13.5
SRR649343,C57BL/6,control,E13.5
